Location,Year,Indicator,Value,Unit
TK,2021,SE_ACS_CMPTR,100.0,PERCENT
FJ,2015,SE_PRE_PARTN,98.0,PERCENT
FJ,2019,SE_PRE_PARTN,99.4,PERCENT
FJ,2020,SE_PRE_PARTN,97.34,PERCENT
FJ,2021,SE_PRE_PARTN,86.15,PERCENT
FJ,2022,SE_PRE_PARTN,86.77,PERCENT
TV,2018,SE_TOT_GPI,121.0,INDEX
KI,2018,SE_PRE_PARTN,97.3,PERCENT
KI,2020,SE_PRE_PARTN,100.0,PERCENT
PG,2010,SPC_4_6_1,78.8,PERCENT
VU,2015,SE_GC_TCAQ,50.9,INDEX
NU,2017,SE_GPI_TCAQ,92.0,INDEX
NU,2018,SE_GPI_TCAQ,92.0,INDEX
KI,2020,SE_GC_TCAQ,93.62,PERCENT
TO,2014,SE_PRE_PARTN,99.0,PERCENT
TO,2019,SE_PRE_PARTN,96.7,PERCENT
TO,2020,SE_PRE_PARTN,94.59,PERCENT
TO,2021,SE_PRE_PARTN,81.6,PERCENT
TO,2022,SE_PRE_PARTN,82.57,PERCENT
WS,2019,SE_PRE_PARTN,77.0,PERCENT
NU,2015,SE_PRE_PARTN,63.4,PERCENT
NU,2017,SE_PRE_PARTN,97.4,PERCENT
NU,2019,SE_PRE_PARTN,81.0,PERCENT
NU,2020,SE_PRE_PARTN,80.25,PERCENT
NU,2022,SE_PRE_PARTN,97.4,PERCENT
TV,2015,SE_TOT_PRFL,84.0,PERCENT
TV,2018,SE_TOT_PRFL,76.0,PERCENT
CK,2019,SE_ACS_CMPTR,100.0,PERCENT
PW,2015,SE_TOT_PRFL,94.0,PERCENT
PW,2018,SE_TOT_PRFL,98.0,PERCENT
SB,2010,SE_GC_TCAQ,58.0,PERCENT
SB,2011,SE_GC_TCAQ,53.5,PERCENT
SB,2012,SE_GC_TCAQ,54.3,PERCENT
SB,2013,SE_GC_TCAQ,63.3,PERCENT
SB,2014,SE_GC_TCAQ,64.6,PERCENT
SB,2016,SE_GC_TCAQ,65.58,PERCENT
SB,2017,SE_GC_TCAQ,74.15,PERCENT
SB,2018,SE_GC_TCAQ,76.07,PERCENT
SB,2019,SE_GC_TCAQ,82.36,PERCENT
WS,2015,SE_TOT_PRFL,32.0,PERCENT
WS,2018,SE_TOT_PRFL,75.0,PERCENT
CK,2019,SE_GC_TCAQ,0.0,PERCENT
CK,2020,SE_GC_TCAQ,0.0,PERCENT
CK,2021,SE_GC_TCAQ,0.0,PERCENT
CK,2022,SE_GC_TCAQ,0.0,PERCENT
NR,2014,SE_TOT_PRFL,29.9,PERCENT
VU,2019,SE_GC_TCAQ,60.44,PERCENT
CK,2015,SE_TOT_PRFL,56.0,PERCENT
CK,2018,SE_TOT_PRFL,50.0,PERCENT
NU,2019,SE_ACS_SANIT,100.0,PERCENT
TO,2018,SE_TOT_GPI,136.0,INDEX
WS,2017,SE_TOT_PRFL,44.0,PERCENT
FM,2021,SE_ACS_DISAB,30.2,PERCENT
FM,2022,SE_ACS_DISAB,30.2,PERCENT
FJ,2018,SE_TOT_PRFL,86.0,PERCENT
TV,2019,SE_ACS_ELECT,100.0,PERCENT
TK,2015,SE_TOT_PRFL,87.0,PERCENT
TK,2018,SE_TOT_PRFL,84.0,PERCENT
SB,2015,SE_GC_TCAQ,59.2,INDEX
CK,2019,SE_ACS_H2O,100.0,PERCENT
FJ,2015,SE_TOT_PRFL,37.1,PERCENT
PG,2016,SE_PRE_PARTN,71.8,PERCENT
PG,2018,SE_PRE_PARTN,66.07,PERCENT
PG,2018,SE_TOT_PRFL,83.0,PERCENT
TO,2018,SPC_4_6_1,99.54,PERCENT
FM,2018,SE_GC_TCAQ,26.67,PERCENT
FM,2019,SE_GC_TCAQ,26.05,PERCENT
FM,2020,SE_GC_TCAQ,25.37,PERCENT
FM,2021,SE_GC_TCAQ,14.02,PERCENT
WS,2018,SPC_4_6_1,98.84,PERCENT
SB,2010,SE_GC_TCAQ,70.4,PERCENT
SB,2015,SE_GC_TCAQ,60.8,PERCENT
FJ,2018,SE_TOT_PRFL,64.0,PERCENT
SB,2016,SE_TOT_GPI,102.0,INDEX
VU,2019,SE_GPI_TCAQ,126.0,INDEX
TV,2019,SE_ACS_SANIT,18.2,PERCENT
KI,2018,SE_TOT_GPI,154.0,INDEX
MH,2015,SE_TOT_PRFL,81.0,PERCENT
MH,2018,SE_TOT_PRFL,87.0,PERCENT
NR,2019,SE_ACS_H2O,100.0,PERCENT
TV,2019,SE_PRE_PARTN,76.0,PERCENT
FJ,2018,SE_TOT_PRFL,63.0,PERCENT
FJ,2015,SE_TOT_GPI,114.0,INDEX
MH,2020,SE_GC_TCAQ,55.94,PERCENT
MH,2022,SE_GC_TCAQ,74.69,PERCENT
TV,2019,SE_ACS_CMPTR,50.0,PERCENT
VU,2018,SE_GC_TCAQ,65.24,PERCENT
PW,2020,SE_ACS_ELECT,84.21,PERCENT
PW,2021,SE_ACS_ELECT,100.0,PERCENT
CK,2012,SE_TOT_PRFL,42.0,PERCENT
CK,2015,SE_TOT_PRFL,46.0,PERCENT
CK,2018,SE_TOT_PRFL,72.0,PERCENT
CK,2021,SE_TOT_PRFL,76.0,PERCENT
TO,2015,SE_TOT_PRFL,75.0,PERCENT
TO,2018,SE_TOT_PRFL,78.0,PERCENT
KI,2020,SE_GC_TCAQ,90.48,PERCENT
WS,2020,SE_GC_TCAQ,58.4,PERCENT
NR,2018,SE_TOT_PRFL,54.0,PERCENT
VU,2015,SE_TOT_PRFL,32.0,PERCENT
VU,2018,SE_TOT_PRFL,33.0,PERCENT
TV,2019,SE_PRE_PARTN,79.0,PERCENT
TO,2018,SE_TOT_GPI,107.0,INDEX
FJ,2018,SE_TOT_PRFL,75.0,PERCENT
WS,2019,SE_TOT_PRFL,23.0,PERCENT
TK,2020,SE_GPI_TCAQ,62.0,INDEX
FJ,2021,SPC_4_6_1,95.5,PERCENT
SB,2018,SE_TOT_GPI,111.0,INDEX
WS,2019,SE_PRE_PARTN,54.0,PERCENT
TV,2012,SE_TOT_PRFL,27.0,PERCENT
TV,2015,SE_TOT_PRFL,22.0,PERCENT
TV,2018,SE_TOT_PRFL,32.0,PERCENT
CK,2017,SE_TOT_GPI,102.0,INDEX
CK,2016,SE_ACS_DISAB,4.17,PERCENT
CK,2021,SE_ACS_DISAB,66.7,PERCENT
CK,2022,SE_ACS_DISAB,66.7,PERCENT
TO,2019,SE_TOT_PRFL,52.4,PERCENT
FM,2015,SE_TOT_PRFL,72.0,PERCENT
SB,2015,SE_ACS_INTNT,0.0,PERCENT
SB,2018,SE_ACS_INTNT,0.0,PERCENT
TK,2020,SE_ACC_HNDWSH,100.0,PERCENT
TK,2021,SE_ACC_HNDWSH,100.0,PERCENT
MH,2019,SE_ACC_HNDWSH,76.5,PERCENT
TO,2020,SE_ACS_ELECT,96.36,PERCENT
TO,2021,SE_ACS_ELECT,88.4,PERCENT
TO,2022,SE_ACS_ELECT,86.4,PERCENT
NR,2016,SE_ACS_SANIT,100.0,PERCENT
NR,2019,SE_ACS_SANIT,100.0,PERCENT
PW,2020,SE_ACS_CMPTR,84.21,PERCENT
PW,2021,SE_ACS_CMPTR,100.0,PERCENT
FM,2015,SE_TOT_PRFL,24.0,PERCENT
FM,2018,SE_TOT_PRFL,47.0,PERCENT
SB,2015,SE_GPI_TCAQ,112.0,INDEX
TV,2016,SE_ACC_HNDWSH,78.0,PERCENT
TV,2014,SE_GC_TCAQ,74.6,PERCENT
TV,2016,SE_GC_TCAQ,87.9,PERCENT
TV,2018,SE_GC_TCAQ,91.2,PERCENT
FJ,2021,SPC_4_6_1,93.1,PERCENT
PG,2018,SE_TOT_PRFL,41.0,PERCENT
FM,2015,SE_PRE_PARTN,79.73,PERCENT
FM,2016,SE_PRE_PARTN,70.5,PERCENT
FM,2019,SE_PRE_PARTN,72.25,PERCENT
FM,2020,SE_PRE_PARTN,56.8,PERCENT
FM,2021,SE_PRE_PARTN,58.63,PERCENT
FM,2022,SE_PRE_PARTN,56.4,PERCENT
FJ,2011,SE_GC_TCAQ,100.0,PERCENT
FJ,2019,SE_GC_TCAQ,92.27,PERCENT
FJ,2020,SE_GC_TCAQ,87.55,PERCENT
FJ,2021,SE_GC_TCAQ,94.21,PERCENT
FJ,2022,SE_GC_TCAQ,92.36,PERCENT
CK,2018,SE_TOT_GPI,110.0,INDEX
VU,2016,SE_GC_TCAQ,92.07,PERCENT
VU,2017,SE_GC_TCAQ,80.14,PERCENT
NR,2014,SE_TOT_PRFL,50.0,PERCENT
SB,2014,SE_GPI_PTNPRE,104.0,INDEX
SB,2015,SE_GPI_PTNPRE,101.0,INDEX
SB,2016,SE_GPI_PTNPRE,101.0,INDEX
SB,2019,SE_GPI_PTNPRE,104.0,INDEX
TV,2019,SE_PRE_PARTN,78.0,PERCENT
NR,2012,SE_PRE_PARTN,76.0,PERCENT
NR,2014,SE_PRE_PARTN,82.3,PERCENT
NR,2016,SE_PRE_PARTN,84.3,PERCENT
NR,2019,SE_PRE_PARTN,100.0,PERCENT
NR,2020,SE_PRE_PARTN,80.47,PERCENT
SB,2016,SE_GC_TCAQ,86.16,PERCENT
SB,2017,SE_GC_TCAQ,87.19,PERCENT
SB,2018,SE_GC_TCAQ,88.72,PERCENT
FJ,2019,SE_GPI_TCAQ,98.0,INDEX
KI,2020,SE_ACS_ELECT,100.0,PERCENT
PW,2020,SE_ACS_H2O,84.21,PERCENT
PW,2021,SE_ACS_H2O,100.0,PERCENT
VU,2015,SE_TOT_GPI,97.0,INDEX
WS,2016,SE_ACS_DISAB,43.9,PERCENT
WS,2017,SE_ACS_DISAB,43.9,PERCENT
NU,2015,SE_GPI_TCAQ,100.0,INDEX
FJ,2020,SE_GC_TCAQ,93.55,PERCENT
FJ,2021,SE_GC_TCAQ,94.93,PERCENT
FJ,2022,SE_GC_TCAQ,87.52,PERCENT
MH,2016,SE_ACS_CMPTR,22.3,PERCENT
VU,2016,SE_GPI_TCAQ,96.0,INDEX
VU,2017,SE_GPI_TCAQ,97.0,INDEX
VU,2011,SE_TOT_PRFL,5.2,PERCENT
VU,2012,SE_TOT_PRFL,25.3,PERCENT
CK,2016,SE_ACS_SANIT,100.0,PERCENT
FJ,2021,SE_GC_TCAQ,100.0,PERCENT
KI,2015,SE_TOT_PRFL,46.0,PERCENT
KI,2018,SE_TOT_PRFL,41.0,PERCENT
SB,2012,SE_TOT_PRFL,50.0,PERCENT
SB,2015,SE_TOT_PRFL,50.0,PERCENT
SB,2018,SE_TOT_PRFL,54.0,PERCENT
TO,2020,SE_ACS_H2O,98.47,PERCENT
TO,2021,SE_ACS_H2O,95.4,PERCENT
TO,2022,SE_ACS_H2O,96.2,PERCENT
VU,2018,SE_TOT_GPI,138.0,INDEX
SB,2013,SE_PRE_PARTN,58.5,PERCENT
SB,2014,SE_PRE_PARTN,60.6,PERCENT
SB,2015,SE_PRE_PARTN,63.3,PERCENT
SB,2018,SE_PRE_PARTN,57.4,PERCENT
SB,2019,SE_PRE_PARTN,64.34,PERCENT
WS,2018,SE_TOT_GPI,150.0,INDEX
VU,2012,SE_TOT_PRFL,23.0,PERCENT
VU,2015,SE_TOT_PRFL,27.0,PERCENT
VU,2018,SE_TOT_PRFL,28.0,PERCENT
TK,2019,SE_GC_TCAQ,33.3,PERCENT
TK,2020,SE_GC_TCAQ,33.33,PERCENT
TK,2021,SE_GC_TCAQ,33.33,PERCENT
SB,2015,SE_TOT_PRFL,91.0,PERCENT
TV,2019,SE_ACS_ELECT,18.2,PERCENT
TV,2020,SE_ACS_ELECT,100.0,PERCENT
TV,2021,SE_ACS_ELECT,91.7,PERCENT
TV,2022,SE_ACS_ELECT,91.7,PERCENT
FM,2018,SE_TOT_GPI,106.0,INDEX
NU,2015,SE_TOT_PRFL,61.0,PERCENT
NU,2018,SE_TOT_PRFL,85.0,PERCENT
MH,2015,SE_TOT_PRFL,64.0,PERCENT
MH,2018,SE_TOT_PRFL,70.0,PERCENT
MH,2019,SE_ACS_H2O,58.8,PERCENT
NR,2023,SE_TOT_ICTS,18.1,PERCENT
VU,2018,SPC_4_6_1,96.6,PERCENT
PW,2018,SE_TOT_GPI,96.0,INDEX
NR,2017,SE_GPI_TCAQ,100.0,INDEX
NR,2018,SE_GPI_TCAQ,100.0,INDEX
SB,2015,SE_TOT_PRFL,96.0,PERCENT
CK,2018,SE_ACS_H2O,100.0,PERCENT
CK,2020,SE_ACS_H2O,100.0,PERCENT
CK,2021,SE_ACS_H2O,100.0,PERCENT
CK,2022,SE_ACS_H2O,100.0,PERCENT
CK,2023,SE_ACS_H2O,100.0,PERCENT
WS,2014,SE_GPI_TCAQ,100.0,INDEX
CK,2015,SE_TOT_PRFL,64.0,PERCENT
CK,2018,SE_TOT_PRFL,63.0,PERCENT
TK,2015,SE_TOT_PRFL,23.0,PERCENT
TK,2018,SE_TOT_PRFL,50.0,PERCENT
FM,2012,SE_TOT_PRFL,41.0,PERCENT
FM,2015,SE_TOT_PRFL,47.0,PERCENT
FM,2018,SE_TOT_PRFL,71.0,PERCENT
FM,2021,SE_TOT_PRFL,48.0,PERCENT
FM,2021,SE_ACS_DISAB,34.3,PERCENT
FM,2022,SE_ACS_DISAB,34.3,PERCENT
TO,2014,SE_TOT_GPI,100.0,INDEX
NU,2012,SE_TOT_PRFL,54.0,PERCENT
NU,2015,SE_TOT_PRFL,49.0,PERCENT
NU,2018,SE_TOT_PRFL,50.0,PERCENT
TK,2019,SE_GC_TCAQ,7.7,PERCENT
TK,2020,SE_GC_TCAQ,46.15,PERCENT
TK,2021,SE_GC_TCAQ,7.69,PERCENT
VU,2015,SE_ACS_SANIT,22.9,PERCENT
KI,2018,SE_TOT_PRFL,40.5,PERCENT
PW,2012,SE_TOT_PRFL,100.0,PERCENT
TO,2015,SE_TOT_PRFL,87.0,PERCENT
TO,2018,SE_TOT_PRFL,95.0,PERCENT
TV,2016,SE_GPI_TCAQ,116.0,INDEX
TV,2012,SE_TOT_PRFL,72.0,PERCENT
TV,2015,SE_TOT_PRFL,78.0,PERCENT
WS,2019,SE_PRE_PARTN,59.0,PERCENT
SB,2015,SE_GC_TCAQ,58.9,INDEX
TV,2015,SE_TOT_PRFL,58.0,PERCENT
PW,2015,SE_TOT_PRFL,83.0,PERCENT
SB,2016,SE_ACS_H2O,23.9,PERCENT
SB,2018,SE_ACS_H2O,15.3,PERCENT
SB,2019,SE_ACS_H2O,61.9,PERCENT
SB,2015,SE_ACS_INTNT,15.0,PERCENT
SB,2016,SE_ACS_INTNT,15.2,PERCENT
SB,2018,SE_ACS_INTNT,15.0,PERCENT
PF,2020,SE_ACS_INTNT,94.0,PERCENT
NR,2018,SE_TOT_GPI,123.0,INDEX
TO,2020,SE_ACC_HNDWSH,86.26,PERCENT
TO,2021,SE_ACC_HNDWSH,79.4,PERCENT
TO,2022,SE_ACC_HNDWSH,80.0,PERCENT
VU,2015,SE_GC_TCAQ,21.5,PERCENT
TO,2013,SE_GC_TCAQ,68.1,PERCENT
TO,2014,SE_GC_TCAQ,59.2,PERCENT
TO,2015,SE_GC_TCAQ,58.4,PERCENT
FM,2018,SE_GC_TCAQ,28.57,PERCENT
FM,2019,SE_GC_TCAQ,27.96,PERCENT
FM,2020,SE_GC_TCAQ,27.1,PERCENT
FM,2021,SE_GC_TCAQ,16.41,PERCENT
NR,2019,SE_ACC_HNDWSH,80.0,PERCENT
NR,2020,SE_ACC_HNDWSH,100.0,PERCENT
TV,2015,SE_TOT_PRFL,23.0,PERCENT
TV,2018,SE_TOT_PRFL,28.0,PERCENT
FJ,2020,SE_GC_TCAQ,93.62,PERCENT
FJ,2021,SE_GC_TCAQ,95.02,PERCENT
FJ,2022,SE_GC_TCAQ,87.53,PERCENT
WS,2017,SE_GC_TCAQ,68.0,INDEX
SB,2015,SE_GPI_TCAQ,101.0,INDEX
FM,2015,SE_GC_TCAQ,86.0,PERCENT
KI,2020,SE_GC_TCAQ,100.0,PERCENT
FJ,2021,SE_TOT_PRFL,48.7,PERCENT
SB,2010,SE_GC_TCAQ,70.9,PERCENT
SB,2015,SE_GC_TCAQ,79.8,PERCENT
SB,2016,SE_GC_TCAQ,80.25,PERCENT
SB,2017,SE_GC_TCAQ,85.76,PERCENT
SB,2019,SE_GC_TCAQ,94.2,PERCENT
MH,2016,SE_TOT_GPI,102.0,INDEX
KI,2013,SE_TOT_PRFL,22.0,PERCENT
NR,2020,SE_ACS_H2O,100.0,PERCENT
NR,2022,SE_ACS_H2O,100.0,PERCENT
KI,2015,SE_TOT_PRFL,64.0,PERCENT
KI,2018,SE_TOT_PRFL,78.0,PERCENT
TV,2019,SE_TOT_PRFL,33.0,PERCENT
NR,2018,SE_TOT_PRFL,63.0,PERCENT
NR,2021,SE_TOT_PRFL,50.0,PERCENT
FM,2015,SE_PRE_PARTN,76.4,PERCENT
FM,2016,SE_PRE_PARTN,67.3,PERCENT
FM,2019,SE_PRE_PARTN,73.25,PERCENT
FM,2020,SE_PRE_PARTN,58.73,PERCENT
FM,2021,SE_PRE_PARTN,60.34,PERCENT
FM,2022,SE_PRE_PARTN,58.43,PERCENT
FJ,2018,SE_TOT_PRFL,74.0,PERCENT
FJ,2021,SE_TOT_PRFL,71.0,PERCENT
PG,2018,SE_TOT_PRFL,34.0,PERCENT
TV,2016,SE_GC_TCAQ,28.3,PERCENT
TV,2018,SE_GC_TCAQ,63.64,PERCENT
TV,2022,SE_GC_TCAQ,17.95,PERCENT
CK,2015,SE_GC_TCAQ,100.0,PERCENT
CK,2016,SE_ACS_H2O,100.0,PERCENT
WS,2017,SE_TOT_GPI,119.0,INDEX
TO,2014,SE_GPI_TCAQ,100.0,INDEX
TO,2016,SE_GPI_TCAQ,96.0,INDEX
TO,2018,SE_GPI_TCAQ,98.0,INDEX
TO,2019,SE_GPI_TCAQ,98.0,INDEX
TO,2020,SE_GPI_TCAQ,97.0,INDEX
NR,2018,SE_TOT_GPI,114.0,INDEX
CK,2016,SE_ACS_DISAB,4.55,PERCENT
CK,2021,SE_ACS_DISAB,63.6,PERCENT
CK,2022,SE_ACS_DISAB,63.6,PERCENT
FM,2018,SE_GC_TCAQ,33.55,PERCENT
FM,2019,SE_GC_TCAQ,30.95,PERCENT
FM,2020,SE_GC_TCAQ,28.13,PERCENT
FM,2021,SE_GC_TCAQ,31.09,PERCENT
PW,2016,SE_GPI_PTNPRE,80.0,INDEX
PW,2020,SE_GPI_PTNPRE,125.0,INDEX
CK,2015,SE_GC_TCAQ,83.9,PERCENT
WS,2020,SE_GC_TCAQ,54.71,PERCENT
FM,2018,SE_GC_TCAQ,31.7,PERCENT
FM,2019,SE_GC_TCAQ,28.32,PERCENT
FM,2020,SE_GC_TCAQ,25.0,PERCENT
FM,2021,SE_GC_TCAQ,28.79,PERCENT
NU,2016,SE_ACC_HNDWSH,100.0,PERCENT
PF,2020,SE_ACS_CMPTR,100.0,PERCENT
TV,2016,SE_GC_TCAQ,39.3,PERCENT
TV,2018,SE_GC_TCAQ,60.71,PERCENT
TV,2022,SE_GC_TCAQ,35.09,PERCENT
MH,2019,SE_ACS_SANIT,94.1,PERCENT
WS,2019,SE_ACS_INTNT,100.0,PERCENT
NR,2014,SE_TOT_PRFL,53.3,PERCENT
VU,2011,SE_TOT_PRFL,37.2,PERCENT
VU,2012,SE_TOT_PRFL,36.8,PERCENT
KI,2013,SE_TOT_PRFL,24.0,PERCENT
FM,2018,SE_GC_TCAQ,28.72,PERCENT
FM,2019,SE_GC_TCAQ,28.91,PERCENT
FM,2020,SE_GC_TCAQ,25.35,PERCENT
FM,2021,SE_GC_TCAQ,31.86,PERCENT
TV,2019,SE_ACS_CMPTR,91.1,PERCENT
FJ,2018,SE_TOT_PRFL,66.0,PERCENT
TV,2016,SE_GC_TCAQ,100.0,INDEX
FJ,2018,SE_TOT_PRFL,87.0,PERCENT
MH,2019,SE_ACS_INTNT,29.8,PERCENT
MH,2019,SE_GC_TCAQ,48.58,PERCENT
MH,2020,SE_GC_TCAQ,49.8,PERCENT
MH,2022,SE_GC_TCAQ,69.67,PERCENT
VU,2015,SE_TOT_PRFL,90.0,PERCENT
VU,2018,SE_TOT_PRFL,83.0,PERCENT
NU,2015,SE_PRE_PARTN,29.3,PERCENT
NU,2019,SE_PRE_PARTN,100.0,PERCENT
NU,2020,SE_PRE_PARTN,100.0,PERCENT
TV,2018,SE_GC_TCAQ,0.0,PERCENT
TV,2019,SE_GC_TCAQ,0.0,PERCENT
TV,2021,SE_GC_TCAQ,0.0,PERCENT
TV,2022,SE_GC_TCAQ,0.0,PERCENT
TO,2014,SE_GC_TCAQ,97.1,PERCENT
TO,2015,SE_GC_TCAQ,92.5,PERCENT
TO,2018,SE_GC_TCAQ,94.88,PERCENT
TO,2019,SE_GC_TCAQ,92.86,PERCENT
TO,2020,SE_GC_TCAQ,94.09,PERCENT
TO,2021,SE_GC_TCAQ,97.53,PERCENT
TO,2022,SE_GC_TCAQ,96.91,PERCENT
NR,2014,SE_TOT_GPI,94.0,INDEX
PF,2020,SE_ACC_HNDWSH,100.0,PERCENT
TV,2016,SE_ACS_SANIT,82.0,PERCENT
VU,2023,SE_TOT_ICTS,20.6,PERCENT
PF,2012,SE_TOT_GPI,99.0,INDEX
WS,2018,SPC_4_6_1,99.12,PERCENT
TV,2015,SE_TOT_PRFL,72.0,PERCENT
TV,2018,SE_TOT_PRFL,62.0,PERCENT
FM,2017,SE_GPI_TCAQ,3.0,INDEX
FM,2018,SE_GPI_TCAQ,3.0,INDEX
CK,2015,SE_TOT_PRFL,54.0,PERCENT
CK,2018,SE_TOT_PRFL,75.0,PERCENT
NR,2007,SE_GC_TCAQ,74.2,INDEX
FM,2021,SE_ACS_DISAB,31.5,PERCENT
FM,2022,SE_ACS_DISAB,31.5,PERCENT
FM,2015,SE_TOT_PRFL,35.0,PERCENT
FM,2018,SE_TOT_PRFL,61.0,PERCENT
SB,2015,SE_ACS_H2O,47.0,PERCENT
TK,2020,SE_GC_TCAQ,50.0,PERCENT
TK,2021,SE_GC_TCAQ,50.0,PERCENT
NR,2018,SE_TOT_PRFL,67.0,PERCENT
WS,2018,SPC_4_6_1,99.1,PERCENT
MH,2020,SE_GC_TCAQ,55.39,PERCENT
MH,2022,SE_GC_TCAQ,73.69,PERCENT
NU,2018,SE_TOT_GPI,177.0,INDEX
FM,2015,SE_PRE_PARTN,72.85,PERCENT
FM,2016,SE_PRE_PARTN,63.9,PERCENT
FM,2019,SE_PRE_PARTN,74.33,PERCENT
FM,2020,SE_PRE_PARTN,60.78,PERCENT
FM,2021,SE_PRE_PARTN,62.16,PERCENT
FM,2022,SE_PRE_PARTN,60.6,PERCENT
MH,2016,SE_ACC_HNDWSH,36.2,PERCENT
VU,2016,SE_GC_TCAQ,96.07,PERCENT
VU,2017,SE_GC_TCAQ,82.59,PERCENT
PW,2016,SE_GC_TCAQ,43.0,INDEX
TO,2020,SE_ACS_CMPTR,44.27,PERCENT
TO,2021,SE_ACS_CMPTR,56.5,PERCENT
TO,2022,SE_ACS_CMPTR,46.9,PERCENT
TO,2015,SE_TOT_PRFL,42.0,PERCENT
TO,2018,SE_TOT_PRFL,53.0,PERCENT
MH,2016,SE_ACS_ELECT,54.3,PERCENT
CK,2018,SE_TOT_GPI,118.0,INDEX
FM,2018,SE_GC_TCAQ,20.69,PERCENT
FM,2019,SE_GC_TCAQ,19.23,PERCENT
FM,2020,SE_GC_TCAQ,18.52,PERCENT
FM,2021,SE_GC_TCAQ,5.56,PERCENT
TV,2019,SE_ACC_HNDWSH,100.0,PERCENT
PW,2018,SE_TOT_GPI,108.0,INDEX
TO,2018,SPC_4_6_1,99.41,PERCENT
FM,2018,SE_TOT_GPI,114.0,INDEX
WS,2017,SE_TOT_PRFL,23.9,PERCENT
CK,2012,SE_TOT_PRFL,76.0,PERCENT
CK,2015,SE_TOT_PRFL,60.0,PERCENT
CK,2018,SE_TOT_PRFL,57.0,PERCENT
PG,2017,SE_GPI_PTNPRE,99.0,INDEX
PG,2018,SE_GPI_PTNPRE,99.0,INDEX
FJ,2018,SE_TOT_PRFL,81.0,PERCENT
CK,2014,SE_GPI_TCAQ,100.0,INDEX
KI,2015,SE_TOT_PRFL,78.0,PERCENT
KI,2018,SE_TOT_PRFL,88.0,PERCENT
CK,2012,SE_TOT_PRFL,78.0,PERCENT
CK,2015,SE_TOT_PRFL,76.0,PERCENT
CK,2018,SE_TOT_PRFL,69.0,PERCENT
TV,2019,SE_ACS_H2O,9.1,PERCENT
TV,2021,SE_ACS_H2O,75.0,PERCENT
TV,2022,SE_ACS_H2O,75.0,PERCENT
WS,2015,SE_TOT_PRFL,54.0,PERCENT
